,ticker,market_cap
459,CIW,30502728.74850321
460,CUV,612510405.3844452
461,CLG,24996948.392080307
462,CLV,94354439.12184334
463,CLU,30695687.116742134
464,CEH,158420523.41506577
465,COB,22241950.73143089
466,CBO,1135338255.9814453
467,CBE,22169501.130351305
468,COH,20225360398.526
469,COD,20588288.97810507
470,CDA,4290522766.659546
471,CDE,8494220.46162188
472,CDR,4754882.00924173
473,COG,361290154.1929245
474,CGS,285729337.63910675
475,CKA,33447449.949361324
476,COL,28194271139.96411
477,CKF,1102297478.0082703
478,COI,167501609.67313385
479,CBA,295291921020.5078
480,CCG,31288349.661653996
481,CF1,13094443.577046394
482,CMP,61509758.62514973
483,CPU,24161358576.79004
484,CND,15767796.266560555
485,CNJ,1905021.946801722
486,CML,7868232.312655449
487,CXZ,21634209.777171016
488,CRD,160251416.77773
489,CR1,10088554.602951765
490,CT1,2949460.108091831
491,CEN,8229989622.726013
492,CBL,12962884.281759262
493,CPM,4936402.879396081
494,COY,10591884.380068302
495,CZN,3553709.9828900695
496,CR3,5742551.857916236
497,CXO,214302006.3933487
498,CR9,3021810.0742666125
499,CRN,4348192550.412231
500,CTD,2358775242.8016663
501,CMO,7135559.692829847
502,C1X,7918090.883627534
503,COS,106463458.66405964
504,CUP,159145759.5963478
505,CYG,81117880.85323572
506,CGO,2723330.9001088142
507,CCR,106162248.0
508,CCP,1196617873.8899536
509,CI1,
510,CRI,40472700.53536463
511,CMG,12676216.053968668
512,CRR,16620540.04847145
513,CMW,1152315979.676056
514,CTE,34166719.418144226
515,CPL,
516,CSL,126321228924.3164
517,CLX,146993898.84066582
518,CUE,80395695.53842163
519,CUF,14812269.743738174
520,CUL,4160411.9401637316
521,CPO,5727282.1449661255
522,CVB,44881394.89417291
523,CCL,584265942.4137726
524,CVC,235604717.77534485
525,CYQ,2302584.9085332155
526,CLE,81510264.60246277
527,CYC,110025631.05988503
528,CY5,98883185.32088375
529,CYP,41801490.538716316
530,CYM,63975630.44243288
531,CZR,59257171.15330696
532,D3E,45298125.0
533,DAL,6750950.500597
534,DBI,2379657617.759094
535,DTM,3594180.12724185
536,DTL,1157162727.4990082
537,DDT,4975480.04432261
538,DWG,8177919.817209244
539,DTR,399606240.0
540,DEM,32276090.705108643
541,DAI,80696244.26227951
542,DYL,1527453000.7906342
543,DEL,37447260.39388776
544,DLI,118343284.70253944
545,DGH,36818999.02462959
546,DM1,11941749.52575773
547,DES,29875839.33222294
548,DRR,2311371669.3901367
549,DVP,1402229597.8964386
550,DEV,35335223.42453241
551,DXS,7797882848.0
552,DXC,409138270.18125916
553,DXI,923255773.7915039
554,DGL,115516122.10001469
555,DGR,11480699.585790634
556,DBO,2689856.1277613044
557,DRX,105173879.92604542
558,DDR,1628034961.3571167
559,DGT,1763503949.4782562
560,DCC,109175873.72343826
561,DXB,312074336.07318115
562,DAF,3045055.166826725
563,DUI,1186009000.0
564,DJW,828613825.0865936
565,DMM,
566,DOC,56834198.36461544
567,DHG,2801497602.2768555
568,DME,66660959.790011406
569,DN1,
570,DMP,1782239575.7441711
571,DNA,55535854.36679649
572,DVL,33714289.138492584
573,DTZ,25477028.897219896
574,DOW,4687614965.753723
575,DMG,2762699.928014338
576,DRE,60953969.84571457
577,DA8,
578,DAM,
579,DA9,
580,DAT,
581,D10,
582,DRO,3455139996.909851
583,DTI,5382617.902787566
584,DUB,55263799.084757805
585,DUG,172362236.14740372
586,DKM,16525620.65666914
587,DUN,1715488.0814813077
588,DUR,362828255.5322647
589,DSK,59154504.25770879
590,DBF,46050747.5651741
591,D2O,241968623.27885628
592,DXN,18519599.586054683
593,DY6,28328638.457873344
594,DYM,12561121.265113354
595,DNL,5399621181.679321
596,E79,3168259.769183874
597,APE,5329228001.552582
598,EM2,6810240.059196949
599,EPY,55802842.87325239
600,EE1,3751624.8761446476
601,EMS,1394259.9688358605
602,EFE,4157152.1974541247
603,EBO,7592934207.763672
604,EBR,516711630.36206055
605,ECH,81774003.24940681
606,EIQ,132386545.40524101
607,EPM,65981301.40247345
608,EOF,7577479.510630131
609,EGR,147625394.5851326
610,ECP,25009992.26306677
611,ECS,11016426.006692171
612,EDE,7808771.748907864
613,EDU,70759906.06052685
614,EDC,38952252.11465359
615,ECF,281019522.9558945
616,ENN,124805638.91136646
617,ELD,1430258343.4870605
618,EOS,949323854.7210693
619,E25,71121424.22786903
620,ELT,41313162.41588974
621,EL8,94475921.83876038
622,EXL,3683056.302935779
623,EXR,46187458.69372845
624,ELS,489247362.0829582
625,EVO,127519988.68763447
626,EMB,17586558.176841736
627,EHL,450986259.43180466
628,EMR,2368646100.8097687
629,EMT,4249999.905005097
630,EMI,
631,EML,413231664.43388367
632,ERM,127137601.89449787
633,EMP,35708706.5566957
634,ERL,7419549.914160132
635,EMU,4858704.0094435215
636,EMV,147088375.56664658
637,EMD,29405225.52915287
638,ENR,164601366.5406704
